id,code,name
1,"pl","oct.country.pl"
2,"de","oct.country.de"
3,"uk","oct.country.uk"
4,"fr","oct.country.fr"
5,"be","oct.country.be"
6,"ro","oct.country.ro"
8,"at","oct.country.at"
9,"lv","oct.country.lv"
10,"bg","oct.country.bg"
11,"cy","oct.country.cy"
12,"lt","oct.country.lt"
13,"lu","oct.country.lu"
14,"mt","oct.country.mt"
15,"nl","oct.country.nl"
16,"pt","oct.country.pt"
17,"sk","oct.country.sk"
18,"si","oct.country.si"
19,"cz","oct.country.cz"
20,"dk","oct.country.dk"
21,"ee","oct.country.ee"
22,"fi","oct.country.fi"
23,"el","oct.country.el"
24,"es","oct.country.es"
25,"hu","oct.country.hu"
26,"ie","oct.country.ie"
27,"se","oct.country.se"
28,"it","oct.country.it"
