id,required,country_id,property_id
1,1,1,3
3,1,1,5
4,1,1,6
5,1,1,7
6,1,1,19
7,1,6,3
9,1,6,5
10,1,6,6
11,1,6,7
12,1,6,9
13,1,6,12
14,1,6,13
15,1,6,16
16,1,6,17
17,1,6,21
19,1,8,3
21,1,8,5
22,1,8,6
23,1,8,7
24,1,8,9
25,1,8,10
26,1,8,12
27,1,8,13
28,1,5,3
30,1,5,5
31,1,5,6
32,1,5,7
33,1,5,9
34,1,5,10
35,1,10,2
36,1,10,15
37,1,11,12
38,1,11,13
39,1,19,12
40,1,19,13
41,1,20,3
43,1,20,5
44,1,20,6
45,1,20,7
46,1,20,9
47,1,20,10
48,1,21,3
50,1,21,5
51,1,21,6
52,1,21,7
53,1,21,9
54,1,21,10
55,1,22,7
56,1,22,9
58,1,4,3
60,1,4,5
61,1,4,6
62,1,4,7
63,1,4,9
64,1,4,12
65,1,4,13
66,1,4,14
67,1,2,3
69,1,2,5
70,1,2,6
71,1,2,7
72,1,2,9
73,1,2,10
74,1,4,18
76,1,23,1
77,1,23,2
78,1,23,9
79,1,23,12
80,1,23,13
81,1,23,17
82,1,25,12
83,1,25,13
84,1,25,15
85,1,26,3
87,0,26,5
88,1,26,6
89,1,26,7
92,1,28,3
94,1,28,5
95,1,28,6
96,1,28,7
97,1,28,9
98,1,28,10
99,1,28,11
100,1,28,12
101,1,28,13
102,1,9,1
103,1,9,9
104,1,9,10
105,1,9,16
106,1,12,15
107,1,13,10
108,1,13,19
109,1,14,9
110,1,14,13
111,1,15,1
112,1,15,3
114,1,15,5
115,1,15,6
116,1,15,7
117,1,15,9
118,1,15,10
119,1,16,9
120,1,16,12
121,1,16,13
122,1,16,22
123,1,17,1
124,1,17,3
126,1,17,5
127,1,17,6
128,1,17,7
129,1,17,9
130,1,17,10
131,1,18,9
132,1,18,10
133,1,18,12
134,1,18,13
135,1,24,3
137,1,24,5
138,1,24,6
139,1,24,7
140,1,24,12
141,1,24,13
142,1,27,9
143,1,27,10
144,1,27,23
145,1,27,24
146,1,3,3
148,1,3,5
149,1,3,6
150,1,3,7
151,1,3,9
153,1,26,9
154,1,26,10
155,1,4,26
156,1,4,27
157,1,4,28
158,1,4,29
159,1,4,30
160,1,4,31
161,1,4,32
162,1,4,33
163,1,4,34
164,1,4,35
165,1,1,37
166,1,2,37
167,1,3,37
168,1,4,37
169,1,5,37
170,1,6,37
172,1,8,37
173,1,9,37
174,1,10,37
175,1,11,37
176,1,12,37
177,1,13,37
178,1,14,37
179,1,15,37
180,1,16,37
181,1,17,37
182,1,18,37
183,1,19,37
184,1,20,37
185,1,21,37
186,1,22,37
187,1,23,37
188,1,24,37
189,1,25,37
190,1,26,37
191,1,27,37
192,1,28,37
193,1,1,38
194,1,2,38
195,1,3,38
196,1,4,38
197,1,5,38
198,1,6,38
200,1,8,38
201,1,9,38
202,1,10,38
203,1,11,38
204,1,12,38
205,1,13,38
206,1,14,38
207,1,15,38
208,1,16,38
209,1,17,38
210,1,18,38
211,1,19,38
212,1,20,38
213,1,21,38
214,1,22,38
215,1,23,38
216,1,24,38
217,1,25,38
218,1,26,38
219,1,27,38
220,1,28,38
221,1,1,39
222,1,2,39
223,1,3,39
224,1,4,39
225,1,5,39
226,1,6,39
228,1,8,39
229,1,9,39
230,1,10,39
231,1,11,39
232,1,12,39
233,1,13,39
234,1,14,39
235,1,15,39
236,1,16,39
237,1,17,39
238,1,18,39
239,1,19,39
240,1,20,39
241,1,21,39
242,1,22,39
243,1,23,39
244,1,24,39
245,1,25,39
246,1,26,39
247,1,27,39
248,1,28,39
