id,code,name,display_order
23,"bg","oct.lang.Bulgarian",1
7,"es","oct.lang.Spanish",8
1,"cs","oct.lang.Czech",2
2,"da","oct.lang.Danish",3
3,"de","oct.lang.German",4
4,"et","oct.lang.Estonian",5
5,"el","oct.lang.Greek",6
6,"en","oct.lang.English",7
8,"fr","oct.lang.French",9
12,"ga","oct.lang.Gaelic",10
9,"it","oct.lang.Italian",11
10,"lv","oct.lang.Latvian",12
11,"lt","oct.lang.Lithuanian",13
13,"hu","oct.lang.Hungarian",14
14,"mt","oct.lang.Maltese",15
15,"nl","oct.lang.Dutch",16
16,"pl","oct.lang.Polish",17
17,"pt","oct.lang.Portuguese",18
18,"ro","oct.lang.Romanian",19
19,"sk","oct.lang.Slovak",20
20,"sl","oct.lang.Slovenian",21
21,"fi","oct.lang.Finnish",22
22,"sv","oct.lang.Swedish",23
